Date : 2025-03-21 13:27:45
Directory : d:\Projects\Websites\befikr
Total : 1886 files,  101520 codes, 33945 comments, 21197 blanks, all 156662 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| vendor\nikic\php-parser\lib\PhpParser\Node\Stmt                                                                                                                         |         49 |      1,069 |        591 |        374 |      2,034 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Stmt (Files)                                                                                                                 |         47 |      1,031 |        571 |        360 |      1,962 |
| vendor\nikic\php-parser\lib\PhpParser\Node\Stmt\TraitUseAdaptation                                                                                                      |          2 |         38 |         20 |         14 |         72 |
| vendor\nikic\php-parser\lib\PhpParser\Parser                                                                                                                            |          2 |      5,514 |         24 |         46 |      5,584 |
| vendor\nikic\php-parser\lib\PhpParser\PrettyPrinter                                                                                                                     |          1 |        928 |         51 |        214 |      1,193 |
| vendor\phar-io                                                                                                                                                          |         84 |      2,496 |        725 |        697 |      3,918 |
| vendor\phar-io\manifest                                                                                                                                                 |         60 |      1,844 |        547 |        435 |      2,826 |
| vendor\phar-io\manifest (Files)                                                                                                                                         |          6 |        626 |          2 |         59 |        687 |
| vendor\phar-io\manifest\.github                                                                                                                                         |          2 |         68 |          1 |         22 |         91 |
| vendor\phar-io\manifest\.github (Files)                                                                                                                                 |          1 |          1 |          1 |          2 |          4 |
| vendor\phar-io\manifest\.github\workflows                                                                                                                               |          1 |         67 |          0 |         20 |         87 |
| vendor\phar-io\manifest\src                                                                                                                                             |         51 |      1,102 |        531 |        342 |      1,975 |
| vendor\phar-io\manifest\src (Files)                                                                                                                                     |          3 |        280 |         30 |         63 |        373 |
| vendor\phar-io\manifest\src\exceptions                                                                                                                                  |         11 |         74 |        108 |         35 |        217 |
| vendor\phar-io\manifest\src\values                                                                                                                                      |         21 |        430 |        244 |        157 |        831 |
| vendor\phar-io\manifest\src\xml                                                                                                                                         |         16 |        318 |        149 |         87 |        554 |
| vendor\phar-io\manifest\tools                                                                                                                                           |          1 |         48 |         13 |         12 |         73 |
| vendor\phar-io\manifest\tools\php-cs-fixer.d                                                                                                                            |          1 |         48 |         13 |         12 |         73 |
| vendor\phar-io\version                                                                                                                                                  |         24 |        652 |        178 |        262 |      1,092 |
| vendor\phar-io\version (Files)                                                                                                                                          |          3 |        149 |          0 |         91 |        240 |
| vendor\phar-io\version\src                                                                                                                                              |         21 |        503 |        178 |        171 |        852 |
| vendor\phar-io\version\src (Files)                                                                                                                                      |          6 |        364 |         76 |        115 |        555 |
| vendor\phar-io\version\src\constraints                                                                                                                                  |          9 |        114 |         86 |         43 |        243 |
| vendor\phar-io\version\src\exceptions                                                                                                                                   |          6 |         25 |         16 |         13 |         54 |
| vendor\phpmailer                                                                                                                                                        |         68 |      5,693 |      3,388 |        917 |      9,998 |
| vendor\phpmailer\phpmailer                                                                                                                                              |         68 |      5,693 |      3,388 |        917 |      9,998 |
| vendor\phpmailer\phpmailer (Files)                                                                                                                                      |          4 |        384 |         48 |        102 |        534 |
| vendor\phpmailer\phpmailer\language                                                                                                                                     |         57 |      1,256 |        336 |        171 |      1,763 |
| vendor\phpmailer\phpmailer\src                                                                                                                                          |          7 |      4,053 |      3,004 |        644 |      7,701 |
| vendor\phpunit                                                                                                                                                          |      1,093 |     61,454 |     25,340 |     13,702 |    100,496 |
| vendor\phpunit\php-code-coverage                                                                                                                                        |         97 |      7,269 |      1,677 |      1,811 |     10,757 |
| vendor\phpunit\php-code-coverage (Files)                                                                                                                                |          4 |        173 |          0 |         69 |        242 |
| vendor\phpunit\php-code-coverage\src                                                                                                                                    |         93 |      7,096 |      1,677 |      1,742 |     10,515 |
| vendor\phpunit\php-code-coverage\src (Files)                                                                                                                            |          3 |        506 |        120 |        128 |        754 |
| vendor\phpunit\php-code-coverage\src\Data                                                                                                                               |          2 |        352 |        127 |         82 |        561 |
| vendor\phpunit\php-code-coverage\src\Driver                                                                                                                             |          4 |        240 |        129 |         67 |        436 |
| vendor\phpunit\php-code-coverage\src\Exception                                                                                                                          |         20 |        181 |        169 |         65 |        415 |
| vendor\phpunit\php-code-coverage\src\Node                                                                                                                               |          6 |      1,107 |        342 |        279 |      1,728 |
| vendor\phpunit\php-code-coverage\src\Report                                                                                                                             |         38 |      3,534 |        364 |        803 |      4,701 |
| vendor\phpunit\php-code-coverage\src\Report (Files)                                                                                                                     |          6 |        797 |         80 |        232 |      1,109 |
| vendor\phpunit\php-code-coverage\src\Report\Html                                                                                                                        |         19 |      1,925 |        115 |        371 |      2,411 |
| vendor\phpunit\php-code-coverage\src\Report\Html (Files)                                                                                                                |          4 |        427 |         44 |         87 |        558 |
| vendor\phpunit\php-code-coverage\src\Report\Html\Renderer                                                                                                               |         15 |      1,498 |         71 |        284 |      1,853 |
| vendor\phpunit\php-code-coverage\src\Report\Html\Renderer (Files)                                                                                                       |          3 |      1,271 |         55 |        233 |      1,559 |
| vendor\phpunit\php-code-coverage\src\Report\Html\Renderer\Template                                                                                                      |         12 |        227 |         16 |         51 |        294 |
| vendor\phpunit\php-code-coverage\src\Report\Html\Renderer\Template\css                                                                                                  |          5 |        170 |          4 |         42 |        216 |
| vendor\phpunit\php-code-coverage\src\Report\Html\Renderer\Template\icons                                                                                                |          2 |          2 |          0 |          0 |          2 |
| vendor\phpunit\php-code-coverage\src\Report\Html\Renderer\Template\js                                                                                                   |          5 |         55 |         12 |          9 |         76 |
| vendor\phpunit\php-code-coverage\src\Report\Xml                                                                                                                         |         13 |        812 |        169 |        200 |      1,181 |
| vendor\phpunit\php-code-coverage\src\StaticAnalysis                                                                                                                     |          7 |        920 |        253 |        254 |      1,427 |
| vendor\phpunit\php-code-coverage\src\TestSize                                                                                                                           |          6 |        116 |         81 |         29 |        226 |
| vendor\phpunit\php-code-coverage\src\TestStatus                                                                                                                         |          5 |         82 |         67 |         20 |        169 |
| vendor\phpunit\php-code-coverage\src\Util                                                                                                                               |          2 |         58 |         25 |         15 |         98 |
| vendor\phpunit\php-file-iterator                                                                                                                                        |          8 |        426 |         96 |        173 |        695 |
| vendor\phpunit\php-file-iterator (Files)                                                                                                                                |          4 |        185 |          0 |        107 |        292 |
| vendor\phpunit\php-file-iterator\src                                                                                                                                    |          4 |        241 |         96 |         66 |        403 |
| vendor\phpunit\php-invoker                                                                                                                                              |          8 |        206 |         39 |         74 |        319 |
| vendor\phpunit\php-invoker (Files)                                                                                                                                      |          4 |        124 |          0 |         53 |        177 |
| vendor\phpunit\php-invoker\src                                                                                                                                          |          4 |         82 |         39 |         21 |        142 |
| vendor\phpunit\php-invoker\src (Files)                                                                                                                                  |          1 |         44 |         15 |          7 |         66 |
| vendor\phpunit\php-invoker\src\exceptions                                                                                                                               |          3 |         38 |         24 |         14 |         76 |
| vendor\phpunit\php-text-template                                                                                                                                        |         10 |        221 |         64 |         84 |        369 |
| vendor\phpunit\php-text-template (Files)                                                                                                                                |          4 |        113 |          0 |         54 |        167 |
| vendor\phpunit\php-text-template\.psalm                                                                                                                                 |          2 |         19 |          0 |          2 |         21 |
| vendor\phpunit\php-text-template\src                                                                                                                                    |          4 |         89 |         64 |         28 |        181 |
| vendor\phpunit\php-text-template\src (Files)                                                                                                                            |          1 |         72 |         40 |         20 |        132 |
| vendor\phpunit\php-text-template\src\exceptions                                                                                                                         |          3 |         17 |         24 |          8 |         49 |
| vendor\phpunit\php-timer                                                                                                                                                |         10 |        379 |         65 |        157 |        601 |
| vendor\phpunit\php-timer (Files)                                                                                                                                        |          4 |        226 |          0 |        118 |        344 |
| vendor\phpunit\php-timer\src                                                                                                                                            |          6 |        153 |         65 |         39 |        257 |
| vendor\phpunit\php-timer\src (Files)                                                                                                                                    |          3 |        135 |         41 |         30 |        206 |
| vendor\phpunit\php-timer\src\exceptions                                                                                                                                 |          3 |         18 |         24 |          9 |         51 |
| vendor\phpunit\phpunit                                                                                                                                                  |        960 |     52,953 |     23,399 |     11,403 |     87,755 |
| vendor\phpunit\phpunit (Files)                                                                                                                                          |          7 |      2,271 |          0 |        109 |      2,380 |
| vendor\phpunit\phpunit\schema                                                                                                                                           |         18 |      5,791 |          0 |         18 |      5,809 |
| vendor\phpunit\phpunit\src                                                                                                                                              |        935 |     44,891 |     23,399 |     11,276 |     79,566 |
| vendor\phpunit\phpunit\src (Files)                                                                                                                                      |          1 |          6 |          8 |          3 |         17 |
| vendor\phpunit\phpunit\src\Event                                                                                                                                        |        231 |      6,741 |      4,327 |      1,724 |     12,792 |
| vendor\phpunit\phpunit\src\Event (Files)                                                                                                                                |          4 |        332 |        115 |         60 |        507 |
| vendor\phpunit\phpunit\src\Event\Dispatcher                                                                                                                             |          5 |        156 |         93 |         43 |        292 |
| vendor\phpunit\phpunit\src\Event\Emitter                                                                                                                                |          2 |        894 |        572 |        166 |      1,632 |
| vendor\phpunit\phpunit\src\Event\Events                                                                                                                                 |        155 |      3,655 |      2,424 |      1,007 |      7,086 |
| vendor\phpunit\phpunit\src\Event\Events (Files)                                                                                                                         |          3 |         75 |         46 |         21 |        142 |
| vendor\phpunit\phpunit\src\Event\Events\Application                                                                                                                     |          4 |         75 |         48 |         20 |        143 |
| vendor\phpunit\phpunit\src\Event\Events\Test                                                                                                                            |        102 |      2,703 |      1,764 |        736 |      5,203 |
| vendor\phpunit\phpunit\src\Event\Events\Test (Files)                                                                                                                    |          4 |         76 |         66 |         22 |        164 |
| vendor\phpunit\phpunit\src\Event\Events\TestRunner                                                                                                                      |         34 |        559 |        422 |        167 |      1,148 |
| vendor\phpunit\phpunit\src\Event\Events\TestSuite                                                                                                                       |         12 |        243 |        144 |         63 |        450 |
| vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod                                                                                                                 |         36 |        918 |        630 |        252 |      1,800 |
| vendor\phpunit\phpunit\src\Event\Events\Test\Issue                                                                                                                      |         22 |        815 |        468 |        221 |      1,504 |
| vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle                                                                                                                  |         12 |        259 |        150 |         66 |        475 |
| vendor\phpunit\phpunit\src\Event\Events\Test\Outcome                                                                                                                    |         10 |        258 |        126 |         65 |        449 |
| vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble                                                                                                                 |         18 |        377 |        324 |        110 |        811 |
| vendor\phpunit\phpunit\src\Event\Exception                                                                                                                              |         17 |        106 |        186 |         48 |        340 |
| vendor\phpunit\phpunit\src\Event\Value                                                                                                                                  |         48 |      1,598 |        937 |        400 |      2,935 |
| vendor\phpunit\phpunit\src\Event\Value (Files)                                                                                                                          |          5 |        172 |        103 |         45 |        320 |
| vendor\phpunit\phpunit\src\Event\Value\Runtime                                                                                                                          |          4 |        152 |         58 |         37 |        247 |
| vendor\phpunit\phpunit\src\Event\Value\Telemetry                                                                                                                        |         15 |        529 |        271 |        122 |        922 |
| vendor\phpunit\phpunit\src\Event\Value\Test                                                                                                                             |         19 |        552 |        390 |        144 |      1,086 |
| vendor\phpunit\phpunit\src\Event\Value\Test (Files)                                                                                                                     |          8 |        293 |        185 |         77 |        555 |
| vendor\phpunit\phpunit\src\Event\Value\TestSuite                                                                                                                        |          5 |        193 |        115 |         52 |        360 |
