Date : 2025-03-21 13:27:45
Directory : d:\Projects\Websites\befikr
Total : 1886 files,  101520 codes, 33945 comments, 21197 blanks, all 156662 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\11.0.xsd                                                                                                      | XML        |        323 |          0 |          1 |        324 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\11.1.xsd                                                                                                      | XML        |        333 |          0 |          1 |        334 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\11.2.xsd                                                                                                      | XML        |        331 |          0 |          1 |        332 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\11.3.xsd                                                                                                      | XML        |        335 |          0 |          1 |        336 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\11.4.xsd                                                                                                      | XML        |        334 |          0 |          1 |        335 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\8.5.xsd                                                                                                       | XML        |        319 |          0 |          1 |        320 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\9.0.xsd                                                                                                       | XML        |        315 |          0 |          1 |        316 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\9.1.xsd                                                                                                       | XML        |        317 |          0 |          1 |        318 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\9.2.xsd                                                                                                       | XML        |        317 |          0 |          1 |        318 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\9.3.xsd                                                                                                       | XML        |        327 |          0 |          1 |        328 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\9.4.xsd                                                                                                       | XML        |        328 |          0 |          1 |        329 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\schema\9.5.xsd                                                                                                       | XML        |        330 |          0 |          1 |        331 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Dispatcher\CollectingDispatcher.php                                                                        | PHP        |         20 |         13 |          7 |         40 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Dispatcher\DeferringDispatcher.php                                                                         | PHP        |         37 |         13 |         11 |         61 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Dispatcher\DirectDispatcher.php                                                                            | PHP        |         86 |         35 |         20 |        141 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Dispatcher\Dispatcher.php                                                                                  | PHP        |          6 |         16 |          2 |         24 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Dispatcher\SubscribableDispatcher.php                                                                      | PHP        |          7 |         16 |          3 |         26 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Emitter\DispatchingEmitter.php                                                                             | PHP        |        807 |        413 |         88 |      1,308 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Emitter\Emitter.php                                                                                        | PHP        |         87 |        159 |         78 |        324 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Application\Finished.php                                                                            | PHP        |         30 |         13 |          7 |         50 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Application\FinishedSubscriber.php                                                                  | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Application\Started.php                                                                             | PHP        |         31 |         13 |          7 |         51 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Application\StartedSubscriber.php                                                                   | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Event.php                                                                                           | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\EventCollection.php                                                                                 | PHP        |         35 |         19 |          9 |         63 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\EventCollectionIterator.php                                                                         | PHP        |         33 |         16 |          9 |         58 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\BootstrapFinished.php                                                                    | PHP        |         30 |         13 |          7 |         50 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\BootstrapFinishedSubscriber.php                                                          | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ChildProcessFinished.php                                                                 | PHP        |         32 |         13 |          8 |         53 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ChildProcessFinishedSubscriber.php                                                       | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ChildProcessStarted.php                                                                  | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ChildProcessStartedSubscriber.php                                                        | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\Configured.php                                                                           | PHP        |         27 |         11 |          7 |         45 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ConfiguredSubscriber.php                                                                 | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\DeprecationTriggered.php                                                                 | PHP        |         30 |         13 |          7 |         50 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\DeprecationTriggeredSubscriber.php                                                       | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\EventFacadeSealed.php                                                                    | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\EventFacadeSealedSubscriber.php                                                          | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExecutionAborted.php                                                                     | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExecutionAbortedSubscriber.php                                                           | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExecutionFinished.php                                                                    | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExecutionFinishedSubscriber.php                                                          | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExecutionStarted.php                                                                     | PHP        |         32 |         13 |          7 |         52 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExecutionStartedSubscriber.php                                                           | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExtensionBootstrapped.php                                                                | PHP        |         36 |         29 |         10 |         75 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExtensionBootstrappedSubscriber.php                                                      | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExtensionLoadedFromPhar.php                                                              | PHP        |         43 |         13 |          9 |         65 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\ExtensionLoadedFromPharSubscriber.php                                                    | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\Finished.php                                                                             | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\FinishedSubscriber.php                                                                   | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\GarbageCollectionDisabled.php                                                            | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\GarbageCollectionDisabledSubscriber.php                                                  | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\GarbageCollectionEnabled.php                                                             | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\GarbageCollectionEnabledSubscriber.php                                                   | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\GarbageCollectionTriggered.php                                                           | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\GarbageCollectionTriggeredSubscriber.php                                                 | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\Started.php                                                                              | PHP        |         20 |         13 |          6 |         39 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\StartedSubscriber.php                                                                    | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\WarningTriggered.php                                                                     | PHP        |         30 |         13 |          7 |         50 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestRunner\WarningTriggeredSubscriber.php                                                           | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\Filtered.php                                                                              | PHP        |         31 |         13 |          7 |         51 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\FilteredSubscriber.php                                                                    | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\Finished.php                                                                              | PHP        |         32 |         13 |          7 |         52 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\FinishedSubscriber.php                                                                    | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\Loaded.php                                                                                | PHP        |         31 |         13 |          7 |         51 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\LoadedSubscriber.php                                                                      | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\Skipped.php                                                                               | PHP        |         37 |         13 |          8 |         58 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\SkippedSubscriber.php                                                                     | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\Sorted.php                                                                                | PHP        |         38 |         13 |          9 |         60 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\SortedSubscriber.php                                                                      | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\Started.php                                                                               | PHP        |         32 |         13 |          7 |         52 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\TestSuite\StartedSubscriber.php                                                                     | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\ComparatorRegistered.php                                                                       | PHP        |         30 |         22 |          8 |         60 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\ComparatorRegisteredSubscriber.php                                                             | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterLastTestMethodCalled.php                                                       | PHP        |         38 |         22 |          9 |         69 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterLastTestMethodCalledSubscriber.php                                             | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterLastTestMethodErrored.php                                                      | PHP        |         51 |         22 |         12 |         85 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterLastTestMethodErroredSubscriber.php                                            | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterLastTestMethodFinished.php                                                     | PHP        |         43 |         28 |         12 |         83 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterLastTestMethodFinishedSubscriber.php                                           | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterTestMethodCalled.php                                                           | PHP        |         38 |         22 |          9 |         69 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterTestMethodCalledSubscriber.php                                                 | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterTestMethodErrored.php                                                          | PHP        |         51 |         22 |         12 |         85 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterTestMethodErroredSubscriber.php                                                | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterTestMethodFinished.php                                                         | PHP        |         43 |         28 |         12 |         83 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\AfterTestMethodFinishedSubscriber.php                                               | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeFirstTestMethodCalled.php                                                     | PHP        |         38 |         22 |          9 |         69 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeFirstTestMethodCalledSubscriber.php                                           | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeFirstTestMethodErrored.php                                                    | PHP        |         51 |         22 |         12 |         85 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeFirstTestMethodErroredSubscriber.php                                          | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeFirstTestMethodFinished.php                                                   | PHP        |         43 |         28 |         12 |         83 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeFirstTestMethodFinishedSubscriber.php                                         | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeTestMethodCalled.php                                                          | PHP        |         38 |         22 |          9 |         69 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeTestMethodCalledSubscriber.php                                                | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeTestMethodErrored.php                                                         | PHP        |         51 |         22 |         12 |         85 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeTestMethodErroredSubscriber.php                                               | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeTestMethodFinished.php                                                        | PHP        |         43 |         28 |         12 |         83 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\BeforeTestMethodFinishedSubscriber.php                                              | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PostConditionCalled.php                                                             | PHP        |         38 |         22 |          9 |         69 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PostConditionCalledSubscriber.php                                                   | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PostConditionErrored.php                                                            | PHP        |         51 |         22 |         12 |         85 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PostConditionErroredSubscriber.php                                                  | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PostConditionFinished.php                                                           | PHP        |         43 |         28 |         12 |         83 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PostConditionFinishedSubscriber.php                                                 | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PreConditionCalled.php                                                              | PHP        |         38 |         22 |          9 |         69 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PreConditionCalledSubscriber.php                                                    | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PreConditionErrored.php                                                             | PHP        |         51 |         22 |         12 |         85 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PreConditionErroredSubscriber.php                                                   | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PreConditionFinished.php                                                            | PHP        |         43 |         28 |         12 |         83 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\HookMethod\PreConditionFinishedSubscriber.php                                                  | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\ConsideredRisky.php                                                                      | PHP        |         40 |         22 |          9 |         71 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\ConsideredRiskySubscriber.php                                                            | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\DeprecationTriggered.php                                                                 | PHP        |         99 |         43 |         25 |        167 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\DeprecationTriggeredSubscriber.php                                                       | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\ErrorTriggered.php                                                                       | PHP        |         68 |         36 |         18 |        122 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\ErrorTriggeredSubscriber.php                                                             | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\NoticeTriggered.php                                                                      | PHP        |         77 |         36 |         20 |        133 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\NoticeTriggeredSubscriber.php                                                            | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpDeprecationTriggered.php                                                              | PHP        |         93 |         36 |         23 |        152 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpDeprecationTriggeredSubscriber.php                                                    | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpNoticeTriggered.php                                                                   | PHP        |         77 |         36 |         20 |        133 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpNoticeTriggeredSubscriber.php                                                         | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpWarningTriggered.php                                                                  | PHP        |         77 |         36 |         20 |        133 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpWarningTriggeredSubscriber.php                                                        | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpunitDeprecationTriggered.php                                                          | PHP        |         43 |         22 |         11 |         76 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpunitDeprecationTriggeredSubscriber.php                                                | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpunitErrorTriggered.php                                                                | PHP        |         44 |         22 |         11 |         77 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpunitErrorTriggeredSubscriber.php                                                      | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpunitWarningTriggered.php                                                              | PHP        |         43 |         22 |         11 |         76 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\PhpunitWarningTriggeredSubscriber.php                                                    | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\WarningTriggered.php                                                                     | PHP        |         77 |         36 |         20 |        133 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Issue\WarningTriggeredSubscriber.php                                                           | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\DataProviderMethodCalled.php                                                         | PHP        |         40 |         13 |          8 |         61 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\DataProviderMethodCalledSubscriber.php                                               | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\DataProviderMethodFinished.php                                                       | PHP        |         47 |         19 |         11 |         77 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\DataProviderMethodFinishedSubscriber.php                                             | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\Finished.php                                                                         | PHP        |         37 |         13 |          8 |         58 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\FinishedSubscriber.php                                                               | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\PreparationFailed.php                                                                | PHP        |         31 |         13 |          7 |         51 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\PreparationFailedSubscriber.php                                                      | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\PreparationStarted.php                                                               | PHP        |         31 |         13 |          7 |         51 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\PreparationStartedSubscriber.php                                                     | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\Prepared.php                                                                         | PHP        |         31 |         13 |          7 |         51 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Lifecycle\PreparedSubscriber.php                                                               | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\Errored.php                                                                            | PHP        |         45 |         13 |         10 |         68 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\ErroredSubscriber.php                                                                  | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\Failed.php                                                                             | PHP        |         59 |         19 |         13 |         91 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\FailedSubscriber.php                                                                   | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\MarkedIncomplete.php                                                                   | PHP        |         45 |         13 |         10 |         68 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\MarkedIncompleteSubscriber.php                                                         | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\Passed.php                                                                             | PHP        |         31 |         13 |          7 |         51 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\PassedSubscriber.php                                                                   | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\Skipped.php                                                                            | PHP        |         43 |         13 |         10 |         66 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\Outcome\SkippedSubscriber.php                                                                  | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\PrintedUnexpectedOutput.php                                                                    | PHP        |         32 |         22 |          8 |         62 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\PrintedUnexpectedOutputSubscriber.php                                                          | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble\MockObjectCreated.php                                                               | PHP        |         30 |         22 |          8 |         60 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble\MockObjectCreatedSubscriber.php                                                     | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble\MockObjectForAbstractClassCreated.php                                               | PHP        |         30 |         22 |          8 |         60 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble\MockObjectForAbstractClassCreatedSubscriber.php                                     | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble\MockObjectForIntersectionOfInterfacesCreated.php                                    | PHP        |         31 |         22 |          8 |         61 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble\MockObjectForIntersectionOfInterfacesCreatedSubscriber.php                          | PHP        |          7 |         11 |          3 |         21 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble\MockObjectForTraitCreated.php                                                       | PHP        |         30 |         22 |          8 |         60 |
| d:\Projects\Websites\befikr\vendor\phpunit\phpunit\src\Event\Events\Test\TestDouble\MockObjectForTraitCreatedSubscriber.php                                             | PHP        |          7 |         11 |          3 |         21 |
